# Cosmological Table
# w0=-0.8, wa=-0.8
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1e-08,1e-08,1e-08,1.0
1.0020052117372993e-08,1.002005219956829e-08,1.0020052199200399e-08,0.9999999999799478
1.0040144584793777e-08,1.0040144608207333e-08,1.004014476103599e-08,0.9999999999598553
1.0060277259533321e-08,1.0060277306545179e-08,1.006027744619331e-08,0.9999999999397227
1.0080450370528878e-08,1.0080450375371498e-08,1.0080450508155668e-08,0.9999999999195496
1.0100663857021514e-08,1.0100663895638016e-08,1.0100663983127995e-08,0.9999999998993361
1.012091788474225e-08,1.0120917948458772e-08,1.012091798956361e-08,0.9999999998790821
1.014121255872952e-08,1.014121261511045e-08,1.0141212646055059e-08,0.9999999998587874
1.0161547917957944e-08,1.0161547977032736e-08,1.0161548073188441e-08,0.999999999838452
1.0181924036344915e-08,1.0181924115828556e-08,1.0181924191224006e-08,0.9999999998180759
1.0202341109574353e-08,1.0202341113264535e-08,1.0202341203850253e-08,0.9999999997976589
1.0222799091138188e-08,1.0222799051271229e-08,1.0222799171728732e-08,0.9999999997772009
1.0243298003124524e-08,1.024329801194349e-08,1.024329808422116e-08,0.999999999756702
1.0263838037322233e-08,1.0263838077540807e-08,1.0263838095088052e-08,0.9999999997361619
1.0284419363221505e-08,1.0284419330487554e-08,1.02844194433113e-08,0.9999999997155806
1.0305041837131364e-08,1.0305041853373446e-08,1.0305041912702154e-08,0.9999999996949581
1.0325705617267307e-08,1.0325705728953788e-08,1.0325705788518303e-08,0.9999999996742943
1.0346410912288733e-08,1.0346411040149829e-08,1.0346411125274774e-08,0.999999999653589
1.0367157751563217e-08,1.0367157870049114e-08,1.0367157936778574e-08,0.9999999996328421
1.0387946251204508e-08,1.0387946301905733e-08,1.0387946402080953e-08,0.9999999996120537
1.0408776422749625e-08,1.0408776419140783e-08,1.0408776510154404e-08,0.9999999995912235
1.0429648241575014e-08,1.0429648305342614e-08,1.0429648373473729e-08,0.9999999995703517
1.045056197932866e-08,1.0450562044267196e-08,1.04505621348173e-08,0.999999999549438
1.0471517617250759e-08,1.047151771983844e-08,1.0471517782308163e-08,0.9999999995284823
1.0492515361708894e-08,1.0492515416148568e-08,1.049251552271354e-08,0.9999999995074845
1.0513555094402255e-08,1.0513555217458366e-08,1.0513555255642353e-08,0.9999999994864448
1.0534637198091464e-08,1.0534637208197636e-08,1.0534637256062598e-08,0.9999999994653628
1.0555761414205822e-08,1.0555761472965468e-08,1.0555761464079734e-08,0.9999999994442386
1.0576928016039958e-08,1.0576928096530584e-08,1.0576928101022352e-08,0.9999999994230719
1.0598137142353501e-08,1.0598137163831714e-08,1.0598137246367516e-08,0.9999999994018628
1.0619388702934445e-08,1.0619388759977841e-08,1.0619388800210571e-08,0.9999999993806112
1.0640682885804296e-08,1.0640682970248673e-08,1.0640682996924793e-08,0.999999999359317
1.066201982031417e-08,1.0662019880094907e-08,1.0662019964085702e-08,0.9999999993379801
1.0683399486028448e-08,1.0683399575138581e-08,1.0683399633637413e-08,0.9999999993166004
1.070482215442836e-08,1.0704822141173448e-08,1.0704822299702291e-08,0.9999999992951778
1.0726287660787626e-08,1.0726287664165234e-08,1.0726287782301761e-08,0.9999999992737123
1.0747796173611384e-08,1.0747796230252107e-08,1.0747796320535584e-08,0.9999999992522037
1.0769347866164427e-08,1.076934792574494e-08,1.0769348000102233e-08,0.9999999992306521
1.0790942821018475e-08,1.0790942837127678e-08,1.0790942987722174e-08,0.9999999992090571
1.0812581096213526e-08,1.081258105105771e-08,1.0812581216291282e-08,0.9999999991874189
1.0834262638925664e-08,1.083426265436612e-08,1.0834262703727235e-08,0.9999999991657373
1.0855987657679561e-08,1.0855987734058183e-08,1.0855987762869283e-08,0.9999999991440123
