# Cosmological Table
# w0=-1.0, wa=0.0
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1e-08,1e-08,1e-08,1.0
1.0020052006350778e-08,1.002005219956829e-08,1.0020052088178002e-08,0.9999999999799479
1.0040144473771554e-08,1.0040144608207333e-08,1.0040144567904002e-08,0.9999999999598554
1.006027714851071e-08,1.0060277306545179e-08,1.0060277291807674e-08,0.9999999999397228
1.008045025950682e-08,1.0080450375371498e-08,1.0080450397133504e-08,0.9999999999195497
1.0100663745998969e-08,1.0100663895638016e-08,1.0100663872105795e-08,0.9999999998993362
1.0120917773720155e-08,1.0120917948458772e-08,1.0120917878541316e-08,0.9999999998790822
1.0141212384181934e-08,1.014121261511045e-08,1.0141212535032607e-08,0.9999999998587875
1.0161547768519637e-08,1.0161547977032736e-08,1.0161547962165991e-08,0.9999999998384521
1.0181923925322538e-08,1.0181924115828556e-08,1.0181924080201866e-08,0.999999999818076
1.0202340907780245e-08,1.0202341113264535e-08,1.0202341092827835e-08,0.999999999797659
1.0222798869093614e-08,1.0222799051271229e-08,1.0222799060706496e-08,0.999999999777201
1.0243297890022392e-08,1.024329801194349e-08,1.0243297973199042e-08,0.9999999997567021
1.0263837919305447e-08,1.0263838077540807e-08,1.0263837984065464e-08,0.999999999736162
1.0284419157243614e-08,1.0284419330487554e-08,1.0284419332289216e-08,0.9999999997155807
1.0305041726109142e-08,1.0305041853373446e-08,1.030504179630602e-08,0.9999999996949582
1.0325705617267307e-08,1.0325705728953788e-08,1.032570568657018e-08,0.9999999996742943
1.034641080126646e-08,1.0346411040149829e-08,1.0346410903230124e-08,0.9999999996535891
1.036715764054099e-08,1.0367157870049114e-08,1.036715778777407e-08,0.9999999996328423
1.0387946140181949e-08,1.0387946301905733e-08,1.0387946291058624e-08,0.9999999996120538
1.0408776241199041e-08,1.0408776419140783e-08,1.0408776399132219e-08,0.9999999995912237
1.0429648099140338e-08,1.0429648305342614e-08,1.0429648232740532e-08,0.9999999995703518
1.045056186830602e-08,1.0450562044267196e-08,1.0450561928048867e-08,0.9999999995494381
1.0471517506228818e-08,1.047151771983844e-08,1.047151767128596e-08,0.9999999995284824
1.0492515250686633e-08,1.0492515416148568e-08,1.0492515411691337e-08,0.9999999995074846
1.0513554983379486e-08,1.0513555217458366e-08,1.0513555144619988e-08,0.9999999994864449
1.0534637073078482e-08,1.0534637208197636e-08,1.0534637145040502e-08,0.9999999994653629
1.055576132624728e-08,1.0555761472965468e-08,1.0555761464079734e-08,0.9999999994442386
1.0576928016039958e-08,1.0576928096530584e-08,1.0576928101022352e-08,0.9999999994230719
1.059813703133084e-08,1.0598137163831714e-08,1.0598137135345231e-08,0.9999999994018629
1.0619388591912584e-08,1.0619388759977841e-08,1.0619388689188225e-08,0.9999999993806113
1.0640682774781603e-08,1.0640682970248673e-08,1.0640682885902449e-08,0.9999999993593172
